pop,den,geometry,area
3,0.48,"POLYGON((21.0145210033721 55.3119298295454, 21.0184536660184 55.3120259548415, 21.0182852274921 55.3142689519731, 21.0143523434795 55.3141728186825, 21.0145210033721 55.3119298295454))",62500.0
98,15.68,"POLYGON((21.0143523434795 55.3141728186825, 21.0182852274921 55.3142689519731, 21.0181167653861 55.3165119479326, 21.0141836599766 55.3164158066464, 21.0143523434795 55.3141728186825))",62500.0
20,3.2,"POLYGON((21.0140149528587 55.3186587934372, 21.0179482796962 55.3187549427198, 21.0177797704176 55.3209979363347, 21.0138462221213 55.3209017790549, 21.0140149528587 55.3186587934372))",62500.0
80,12.8,"POLYGON((21.0138462221213 55.3209017790549, 21.0177797704176 55.3209979363347, 21.0176112375459 55.3232409287773, 21.0136774677601 55.3231447634993, 21.0138462221213 55.3209017790549))",62500.0
86,13.76,"POLYGON((21.0181167653861 55.3165119479326, 21.0220498943798 55.3166079627155, 21.0218816301222 55.3188509654886, 21.0179482796962 55.3187549427198, 21.0181167653861 55.3165119479326))",62500.0
6,0.96,"POLYGON((21.0179482796962 55.3187549427198, 21.0218816301222 55.3188509654886, 21.0217133423069 55.3210939670904, 21.0177797704176 55.3209979363347, 21.0179482796962 55.3187549427198))",62500.0
3,0.48,"POLYGON((21.033423177238 55.37530927705, 21.0373621915633 55.3754048658537, 21.0371944245919 55.3776478780461, 21.0332551880072 55.3775522812856, 21.033423177238 55.37530927705))",62500.0
4,0.6399999975000003,"POLYGON((21.0501814847915 55.3622326310758, 21.0541192599796 55.3623276652561, 21.0539525223719 55.364570716156, 21.0500145250925 55.3644756740663, 21.0501814847915 55.3622326310758))",62500.0002441406
3,0.48,"POLYGON((21.0537857613951 55.3668137658917, 21.0577240041703 55.3669086891411, 21.0575574419779 55.3691517456133, 21.0536189770449 55.3690568144632, 21.0537857613951 55.3668137658917))",62500.0
17,2.72,"POLYGON((21.0577240041703 55.3669086891411, 21.061662270288 55.3670034856385, 21.0614959302578 55.3692465500007, 21.0575574419779 55.3691517456133, 21.0577240041703 55.3669086891411))",62500.0
7,1.12,"POLYGON((21.0575574419779 55.3691517456133, 21.0614959302578 55.3692465500007, 21.0613295669116 55.3714896132004, 21.0573908564385 55.371394800922, 21.0575574419779 55.3691517456133))",62500.0
38,6.08,"POLYGON((21.0614959302578 55.3692465500007, 21.0654344418536 55.3693412276238, 21.0652683007052 55.371584298704, 21.0613295669116 55.3714896132004, 21.0614959302578 55.3692465500007))",62500.0
53,8.479999966875003,"POLYGON((21.0613295669116 55.3714896132004, 21.0652683007052 55.371584298704, 21.0651021362673 55.3738273686226, 21.0611631802451 55.3737326752376, 21.0613295669116 55.3714896132004))",62500.0002441406
59,9.44,"POLYGON((21.0652683007052 55.371584298704, 21.0692070577881 55.3716788574312, 21.0690411155834 55.3739219352207, 21.0651021362673 55.3738273686226, 21.0652683007052 55.371584298704))",62500.0
59,9.44,"POLYGON((21.0651021362673 55.3738273686226, 21.0690411155834 55.3739219352207, 21.068875150116 55.3761650118493, 21.0649359485356 55.3760704373795, 21.0651021362673 55.3738273686226))",62500.0
17,2.72,"POLYGON((21.0649359485356 55.3760704373795, 21.068875150116 55.3761650118493, 21.0687091613812 55.3784080873172, 21.0647697375057 55.3783135049748, 21.0649359485356 55.3760704373795))",62500.0
3,0.48,"POLYGON((21.0690411155834 55.3739219352207, 21.0729801181624 55.3740163750302, 21.0728143749635 55.3762594595201, 21.068875150116 55.3761650118493, 21.0690411155834 55.3739219352207))",62500.0
4,0.64,"POLYGON((21.068875150116 55.3761650118493, 21.0728143749635 55.3762594595201, 21.0726486085284 55.37850254285, 21.0687091613812 55.3784080873172, 21.068875150116 55.3761650118493))",62500.0
3,0.48,"POLYGON((21.0785419014438 55.4056081714015, 21.0824840883986 55.4057023405314, 21.0823186876249 55.4079454323364, 21.0783762779532 55.4078512553645, 21.0785419014438 55.4056081714015))",62500.0
9,1.44,"POLYGON((21.0512235063178 55.8768218564255, 21.0552132040651 55.876917433717, 21.0550432896562 55.8791602975232, 21.0510533625161 55.8790647122214, 21.0512235063178 55.8768218564255))",62500.0
3,0.48,"POLYGON((21.0484983070177 55.9127074092788, 21.0524916789399 55.9128031148451, 21.052321378374 55.9150459600133, 21.04832777654 55.9149502464219, 21.0484983070177 55.9127074092788))",62500.0
3,0.48,"POLYGON((21.0900385980835 55.4103765117214, 21.0939813000389 55.4104703156411, 21.0938165212145 55.4127134285987, 21.0898735964665 55.4126196168668, 21.0900385980835 55.4103765117214))",62500.0
3,0.48,"POLYGON((21.0535129749294 55.8993460193685, 21.0575049922044 55.8994415475121, 21.0573350663098 55.9016844076795, 21.0533428193131 55.9015888715272, 21.0535129749294 55.8993460193685))",62500.0
18,2.88,"POLYGON((21.0524916789399 55.9128031148451, 21.056485075032 55.9128986910547, 21.0563150043827 55.9151415442371, 21.052321378374 55.9150459600133, 21.0524916789399 55.9128031148451))",62500.0
6,0.96,"POLYGON((21.0939813000389 55.4104703156411, 21.0979240251108 55.4105639925925, 21.0977594690832 55.4128071133518, 21.0938165212145 55.4127134285987, 21.0939813000389 55.4104703156411))",62500.0
44,7.04,"POLYGON((21.0938165212145 55.4127134285987, 21.0977594690832 55.4128071133518, 21.0975948899661 55.4150502329567, 21.0936517192692 55.4149565404011, 21.0938165212145 55.4127134285987))",62500.0
17,2.72,"POLYGON((21.0566551215439 55.910655836708, 21.0606483118848 55.9107512755565, 21.0604784952617 55.9129941379056, 21.056485075032 55.9128986910547, 21.0566551215439 55.910655836708))",62500.0
