pop,den,geometry,area
3,0.12,"POLYGON((20.9840826378144 55.2976987004121, 20.9837420387611 55.3021845630002, 20.9916052384125 55.3023786461527, 20.991944952815 55.2978927512918, 20.9840826378144 55.2976987004121))",250000.0
6,0.24000000023437534,"POLYGON((20.9830605546048 55.3111562740147, 20.982719669429 55.3156421224404, 20.9905855245124 55.3158363024549, 20.9909255242976 55.3113504217346, 20.9830605546048 55.3111562740147))",249999.999755859
22,0.88,"POLYGON((20.9916052384125 55.3023786461527, 20.9912654289188 55.3068645363004, 20.9991296085951 55.3070581459341, 20.9994685331552 55.3025722235902, 20.9916052384125 55.3023786461527))",250000.0
150,6.000000005859384,"POLYGON((20.9912654289188 55.3068645363004, 20.9909255242976 55.3113504217346, 20.9987905891541 55.3115440635718, 20.9991296085951 55.3070581459341, 20.9912654289188 55.3068645363004))",249999.999755859
440,17.600000017187526,"POLYGON((20.9998073628706 55.2980862965403, 20.9994685331552 55.3025722235902, 21.0073319227426 55.3027652952994, 21.0076698677346 55.2982793361442, 20.9998073628706 55.2980862965403))",249999.999755859
947,37.879999963007755,"POLYGON((20.9994685331552 55.3025722235902, 20.9991296085951 55.3070581459341, 21.0069938831524 55.3072512497558, 21.0073319227426 55.3027652952994, 20.9994685331552 55.3025722235902))",250000.000244141
131,5.24,"POLYGON((20.9991296085951 55.3070581459341, 20.9987905891541 55.3115440635718, 21.0066557489279 55.3117371995132, 21.0069938831524 55.3072512497558, 20.9991296085951 55.3070581459341))",250000.0
25,1.000000000976564,"POLYGON((21.0073319227426 55.3027652952994, 21.0069938831524 55.3072512497558, 21.0148582523439 55.3074438477521, 21.0151954069281 55.3029578612671, 21.0073319227426 55.3027652952994))",249999.999755859
110,4.4,"POLYGON((21.0069938831524 55.3072512497558, 21.0066557489279 55.3117371995132, 21.0145210033721 55.3119298295454, 21.0148582523439 55.3074438477521, 21.0069938831524 55.3072512497558))",250000.0
62,2.48,"POLYGON((21.0066557489279 55.3117371995132, 21.006317520033 55.3162231445711, 21.0141836599766 55.3164158066464, 21.0145210033721 55.3119298295454, 21.0066557489279 55.3117371995132))",250000.0
99,3.96,"POLYGON((21.0145210033721 55.3119298295454, 21.0141836599766 55.3164158066464, 21.0220498943798 55.3166079627155, 21.0223863522399 55.3121219536553, 21.0145210033721 55.3119298295454))",250000.0
112,4.48,"POLYGON((21.0141836599766 55.3164158066464, 21.0138462221213 55.3209017790549, 21.0217133423069 55.3210939670904, 21.0220498943798 55.3166079627155, 21.0141836599766 55.3164158066464))",250000.0
80,3.200000003125005,"POLYGON((21.0138462221213 55.3209017790549, 21.0135086897703 55.3253877467705, 21.0213766959852 55.3255799667796, 21.0217133423069 55.3210939670904, 21.0138462221213 55.3209017790549))",249999.999755859
3,0.12,"POLYGON((21.033423177238 55.37530927705, 21.0330871752255 55.3797952843524, 21.0409661165001 55.3799863669815, 21.041301229404 55.3755003278714, 21.033423177238 55.37530927705))",250000.0
4,0.15999999984374977,"POLYGON((21.0501814847915 55.3622326310758, 21.0498475419935 55.3667187158917, 21.0577240041703 55.3669086891411, 21.0580570585323 55.362422572707, 21.0501814847915 55.3622326310758))",250000.000244141
3,0.12,"POLYGON((21.0498475419935 55.3667187158917, 21.0495135055775 55.3712047960473, 21.0573908564385 55.371394800922, 21.0577240041703 55.3669086891411, 21.0498475419935 55.3667187158917))",250000.0
62,2.48,"POLYGON((21.0577240041703 55.3669086891411, 21.0573908564385 55.371394800922, 21.0652683007052 55.371584298704, 21.0656005597171 55.367098155382, 21.0577240041703 55.3669086891411))",250000.0
53,2.12,"POLYGON((21.0573908564385 55.371394800922, 21.057057615301 55.3758809080492, 21.0649359485356 55.3760704373795, 21.0652683007052 55.371584298704, 21.0573908564385 55.371394800922))",250000.0
121,4.84,"POLYGON((21.0652683007052 55.371584298704, 21.0649359485356 55.3760704373795, 21.0728143749635 55.3762594595201, 21.0731458381294 55.3717732893804, 21.0652683007052 55.371584298704))",250000.0
21,0.84,"POLYGON((21.0649359485356 55.3760704373795, 21.0646035031729 55.3805565714083, 21.0724828188527 55.38074562502, 21.0728143749635 55.3762594595201, 21.0649359485356 55.3760704373795))",250000.0
3,0.12,"POLYGON((21.0787075017026 55.4033650862798, 21.0783762779532 55.4078512553645, 21.0862611205019 55.4080394823555, 21.0865914534368 55.4035532819254, 21.0787075017026 55.4033650862798))",250000.0
3,0.12000000011718767,"POLYGON((21.0862611205019 55.4080394823555, 21.0859306948704 55.4125256781577, 21.0938165212145 55.4127134285987, 21.0941460557471 55.4082272015283, 21.0862611205019 55.4080394823555))",249999.999755859
9,0.36,"POLYGON((21.0513936259922 55.8745789994641, 21.0510533625161 55.8790647122214, 21.0590332408958 55.8792557536301, 21.0593725868562 55.8747700088552, 21.0513936259922 55.8745789994641))",250000.0
3,0.12,"POLYGON((21.0496913429551 55.8970075166278, 21.0493505964628 55.9014932060721, 21.0573350663098 55.9016844076795, 21.0576748939897 55.8971986861808, 21.0496913429551 55.8970075166278))",250000.0
20,0.8,"POLYGON((21.0486688132929 55.9104645709695, 21.04832777654 55.9149502464219, 21.0563150043827 55.9151415442371, 21.0566551215439 55.910655836708, 21.0486688132929 55.9104645709695))",250000.0
6,0.23999999976562464,"POLYGON((21.0941460557471 55.4082272015283, 21.0938165212145 55.4127134285987, 21.1017024400416 55.4129006711244, 21.1020310834399 55.4084144128702, 21.0941460557471 55.4082272015283))",250000.000244141
91,3.6400000035546927,"POLYGON((21.0938165212145 55.4127134285987, 21.0934868941989 55.4171996510481, 21.1013737044093 55.4173869247647, 21.1017024400416 55.4129006711244, 21.0938165212145 55.4127134285987))",249999.999755859
5,0.19999999980468722,"POLYGON((21.0597118365851 55.870284259426, 21.0593725868562 55.8747700088552, 21.0673516439519 55.8749605015462, 21.0676899763868 55.870474720193, 21.0597118365851 55.870284259426))",250000.000244141
3,0.12,"POLYGON((21.0593725868562 55.8747700088552, 21.0590332408958 55.8792557536301, 21.0670132155444 55.8794462782525, 21.0673516439519 55.8749605015462, 21.0593725868562 55.8747700088552))",250000.0
10,0.4000000003906256,"POLYGON((21.0590332408958 55.8792557536301, 21.0586937986663 55.8837414937504, 21.0666746911271 55.8839320503115, 21.0670132155444 55.8794462782525, 21.0590332408958 55.8792557536301))",249999.999755859
13,0.5199999994921868,"POLYGON((21.0586937986663 55.8837414937504, 21.0583542601304 55.8882272292159, 21.0663360706627 55.888417817723, 21.0666746911271 55.8839320503115, 21.0586937986663 55.8837414937504))",250000.000244141
14,0.5600000005468758,"POLYGON((21.0583542601304 55.8882272292159, 21.0580146252507 55.8927129600261, 21.0659973541138 55.8929035804866, 21.0663360706627 55.888417817723, 21.0583542601304 55.8882272292159))",249999.999755859
64,2.5599999974999963,"POLYGON((21.0580146252507 55.8927129600261, 21.0576748939897 55.8971986861808, 21.0656585414431 55.897389338602, 21.0659973541138 55.8929035804866, 21.0580146252507 55.8927129600261))",250000.000244141
5,0.2,"POLYGON((21.0576748939897 55.8971986861808, 21.0573350663098 55.9016844076795, 21.0653196326131 55.9018750920688, 21.0656585414431 55.897389338602, 21.0576748939897 55.8971986861808))",250000.0
11,0.43999999957031183,"POLYGON((21.0569951421737 55.906170124522, 21.0566551215439 55.910655836708, 21.0646415263261 55.9108465850555, 21.0649806275866 55.9063608408868, 21.0569951421737 55.906170124522))",250000.000244141
129,5.16,"POLYGON((21.0566551215439 55.910655836708, 21.0563150043827 55.9151415442371, 21.0643023287942 55.9153323245747, 21.0646415263261 55.9108465850555, 21.0566551215439 55.910655836708))",250000.0
163,6.520000006367197,"POLYGON((21.0563150043827 55.9151415442371, 21.0559747906526 55.9196272471089, 21.0639630349534 55.9198180594441, 21.0643023287942 55.9153323245747, 21.0563150043827 55.9151415442371))",249999.999755859
257,10.279999989960922,"POLYGON((21.0559747906526 55.9196272471089, 21.0556344803161 55.9241129453231, 21.0636236447662 55.9243037896632, 21.0639630349534 55.9198180594441, 21.0559747906526 55.9196272471089))",250000.000244141
